"","test","X","X0","X1","p","p.adj"
"31","nonnorm","desaminotyrosine (median [IQR])"," 28.10 [22.74, 46.94]"," 22.63 [21.00, 32.30]"," 0.028",0.168
"32","nonnorm","indole-3-carboxaldehyde (median [IQR])"," 20.97 [19.40, 23.99]"," 20.36 [18.61, 22.74]"," 0.074",0.2775
"33","x2","n","    39","    32","",NA
"34","x2","race (%)","    ","    "," 0.366",1
"35","x2","   Asian/Mideast Indian","     1 ( 2.6) ","     0 ( 0.0) ","",NA
"36","x2","   Black/African-American","    25 (64.1) ","    19 (59.4) ","",NA
"37","x2","   Hispanic","     2 ( 5.1) ","     6 (18.8) ","",NA
"38","x2","   More than one Race","     1 ( 2.6) ","     0 ( 0.0) ","",NA
"39","x2","   Native Hawaiian/Other Pacific Islander","     1 ( 2.6) ","     0 ( 0.0) ","",NA
"40","x2","   White","     9 (23.1) ","     7 (21.9) ","",NA
"41","x2","sex = Male (%)","    19 (48.7) ","    18 (60.0) "," 0.491",1
"42","x2","HTN = 1 (%)","    23 (59.0) ","    23 (71.9) "," 0.377",1
"43","x2","HLD = 1 (%)","    12 (30.8) ","    11 (34.4) "," 0.946",1
"44","x2","DM = 1 (%)","    13 (33.3) ","    12 (37.5) "," 0.908",1
"45","x2","CHF = 1 (%)","     3 ( 7.7) ","     3 ( 9.4) "," 1.000",1
"46","x2","pAF = 1 (%)","     3 ( 7.7) ","     1 ( 3.1) "," 0.754",1
"47","x2","CAD = 1 (%)","     5 (12.8) ","     1 ( 3.1) "," 0.302",1
"48","x2","CVA = 1 (%)","     5 (12.8) ","     2 ( 6.2) "," 0.600",1
"49","x2","COPD = 1 (%)","     3 ( 7.7) ","     1 ( 3.1) "," 0.754",1
"50","x2","Asthma = 1 (%)","     5 (12.8) ","     0 ( 0.0) "," 0.102",1
"51","x2","ILD = 1 (%)","     3 ( 7.7) ","     3 ( 9.4) "," 1.000",1
"52","x2","OSA = 1 (%)","     7 (17.9) ","     3 ( 9.4) "," 0.490",1
"53","x2","Malignancy = 1 (%)","     6 (15.4) ","     3 ( 9.4) "," 0.690",1
"54","x2","CLD = 1 (%)","     2 ( 5.1) ","     4 (12.5) "," 0.495",1
"55","x2","CKD = 1 (%)","     3 ( 7.7) ","     8 (25.0) "," 0.094",1
"56","x2","ESRD = 1 (%)","     0 ( 0.0) ","     2 ( 6.2) "," 0.388",1
"57","x2","Tobacco = Never (%)","    27 (69.2) ","    25 (78.1) "," 0.567",1
"58","x2","Admission (%)","    ","    "," 0.229",1
"59","x2","   ED","    25 (64.1) ","    14 (43.8) ","",NA
"60","x2","   Hospital Medicine","     8 (20.5) ","    10 (31.2) ","",NA
"61","x2","   OSH","     6 (15.4) ","     8 (25.0) ","",NA
"62","x2","steroid = 1 (%)","    28 (71.8) ","    23 (71.9) "," 1.000",1
"63","x2","remd_treat = 1 (%)","    28 (71.8) ","    22 (68.8) "," 0.985",1
"64","x2","proteo_doms = 2 (%)","     9 (23.1) ","    16 (50.0) "," 0.035",1
"65","x2","entero_doms = 2 (%)","     3 ( 7.7) ","     3 ( 9.4) "," 1.000",1
"66","x2","Betalactams = 1 (%)","     8 (20.5) ","     5 (15.6) "," 0.825",1
"67","x2","Levofloxicin = 1 (%)","     1 ( 2.6) ","     0 ( 0.0) "," 1.000",1
"68","x2","Vancomycin = 2 (%)","     9 (23.1) ","    13 (40.6) "," 0.183",1
"69","x2","Metronidazole = 1 (%)","     3 ( 7.7) ","     4 (12.5) "," 0.782",1
"70","x2","Macrolides = 1 (%)","     8 (20.5) ","     6 (18.8) "," 1.000",1
"71","x2","Doxycycline = 1 (%)","     5 (12.8) ","     1 ( 3.1) "," 0.302",1
"72","x2","Trimethoprim-Sulfamethoxazole = 1 (%)","     5 (12.8) ","     2 ( 6.2) "," 0.600",1
"73","x2","Aminoglycosides = 1 (%)","     1 ( 2.6) ","     0 ( 0.0) "," 1.000",1
