"total","Kingdom","Phylum","Class","Order","Family","Genus","Species","taxid","numseqs","pctseqs","patient_ID"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides","Bacteroides caccae",47678,18728,0.00429220550331885,"covid_001"
4363258,"Bacteria","Firmicutes","","","","Bacteria|Firmicutes||||","",1239,18150,0.00415973568374824,"covid_001"
4363258,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Erysipelatoclostridium","Erysipelatoclostridium ramosum",1547,17025,0.00390190082731757,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Lachnoclostridium","Lachnoclostridium phocaeense",1871021,15132,0.00346805070889688,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides","Bacteroides sp. M10",2763022,14714,0.0033722507355742,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides","Bacteroides fragilis",817,14239,0.00326338712952569,"covid_001"
4363258,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus","",1301,14117,0.00323542637176165,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides","Bacteroides intestinalis",329854,13398,0.00307064125018507,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides","Bacteroides zhangwenhongi",2650157,13040,0.00298859246920535,"covid_001"
4363258,"Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Debaryomycetaceae|Candida","Candida albicans",237561,11437,0.00262120644710902,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|","",216572,10501,0.0024066878465587,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Peptostreptococcaceae|Clostridioides","Clostridioides difficile",1496,10246,0.00234824527910108,"covid_001"
4363258,"Bacteria","","","","","Bacteria|||||","",1783272,10069,0.00230767926168932,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Lachnoclostridium","[Clostridium] scindens",411468,9612,0.0022029410133437,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides","Bacteroides cellulosilyticus",246787,9605,0.00220133670757035,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Roseburia","Roseburia intestinalis",536231,8187,0.00187635019519818,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Blautia","",572511,7653,0.00175396458334575,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Roseburia","Roseburia hominis",301301,7566,0.00173402535444844,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Dysosmobacter","Dysosmobacter welbionis",2093857,7542,0.00172852487751125,"covid_001"
4363258,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Klebsiella","Klebsiella pneumoniae",72407,6954,0.00159376319255015,"covid_001"
4363258,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Limosilactobacillus","Limosilactobacillus fermentum",1613,6946,0.00159192970023776,"covid_001"
4363258,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Klebsiella","Klebsiella variicola",244366,6841,0.00156786511363756,"covid_001"
4363258,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Ligilactobacillus","Ligilactobacillus salivarius",1624,6750,0.00154700913858406,"covid_001"
4363258,"Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Nakaseomyces","[Candida] glabrata",5478,6428,0.00147321107301012,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","","Bacteria|Firmicutes|Clostridia|Eubacteriales||Massilistercora","Massilistercora timonensis",2086584,6410,0.00146908571530723,"covid_001"
4363258,"Bacteria","Proteobacteria","Gammaproteobacteria","","","Bacteria|Proteobacteria|Gammaproteobacteria|||","",1236,5697,0.00130567571296494,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Blautia","Blautia argi",1912897,5667,0.00129880011679346,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Anaerostipes","Anaerostipes hadrus",649756,5493,0.00125892165899885,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales||Phocaeicola","Phocaeicola dorei",357276,5110,0.00117114321454289,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Clostridiaceae|Hungatella","Hungatella hathewayi",742737,4796,0.00109917864128135,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides","",2646097,4719,0.00108153127777454,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides","Bacteroides uniformis",820,4259,0.000976105469811778,"covid_001"
4363258,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Adlercreutzia","Adlercreutzia sp. 8CFCBH1",2707299,4220,0.000967167194788848,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides","Parabacteroides sp. CT06",2025876,4120,0.000944248540883899,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Blautia","Blautia hansenii",537007,3908,0.000895660994605407,"covid_001"
4363258,"Bacteria","Proteobacteria","","","","Bacteria|Proteobacteria||||","",1224,3818,0.000875034206090953,"covid_001"
4363258,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus","Lactobacillus crispatus",47770,3807,0.000872513154161409,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Oscillibacter","Oscillibacter sp. PEA192",2109687,3691,0.000845927515631668,"covid_001"
4363258,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Klebsiella","Klebsiella quasipneumoniae",1463165,3668,0.00084065622523353,"covid_001"
4363258,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Gordonibacter","Gordonibacter pamelaeae",657308,3632,0.000832405509827748,"covid_001"
4363258,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Adlercreutzia","Adlercreutzia equolifaciens",1384484,3546,0.000812695467469492,"covid_001"
4363258,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia","Escherichia coli",562,3423,0.000784505523166405,"covid_001"
4363258,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Eggerthella","",84111,3408,0.000781067725080662,"covid_001"
4363258,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|","",1643826,3241,0.000742793573059397,"covid_001"
4363258,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Klebsiella","Klebsiella pneumoniae",1193292,3112,0.000713228509522013,"covid_001"
4363258,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Limosilactobacillus","Limosilactobacillus vaginalis",1633,3071,0.000703831861420984,"covid_001"
4363258,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Gordonibacter","Gordonibacter urolithinfaciens",1335613,3070,0.000703602674881935,"covid_001"
4363258,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio","Desulfovibrio piger",901,2891,0.000662578284392076,"covid_001"
4363258,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus","Staphylococcus epidermidis",1282,2781,0.000637367765096632,"covid_001"
4363258,"","","","","","|||||","",131567,2762,0.000633013220854692,"covid_001"
4363258,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Faecalitalea","Faecalitalea cylindroides",717960,2749,0.000630033795847048,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Anaerostipes","Anaerostipes caccae",105841,2595,0.000594739068833427,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Odoribacteraceae|Odoribacter","Odoribacter splanchnicus",28118,2561,0.000586946726505744,"covid_001"
4363258,"","","","","","|||||","",1,2457,0.000563111326444597,"covid_001"
4363258,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus","Lactobacillus johnsonii",1408186,2356,0.000539963486000599,"covid_001"
4363258,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Klebsiella","Klebsiella aerogenes",548,2342,0.000536754874453906,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Lachnoclostridium","[Clostridium] hylemonae",553973,2232,0.000511544355158462,"covid_001"
4363258,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus","Streptococcus thermophilus",1308,2190,0.000501918520518383,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|","",2005473,2119,0.00048564627624587,"covid_001"
4363258,"Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bacteria|Actinobacteria|Actinomycetia|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium","Bifidobacterium dentium",1689,2098,0.00048083335892583,"covid_001"
4363258,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|","",128827,2094,0.000479916612769632,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Enterocloster","",2719313,2075,0.000475562068527692,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Christensenellaceae|Christensenella","Christensenella minuta",626937,2063,0.000472811830059098,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Lachnospira","Lachnospira eligens",515620,1874,0.000429495574178744,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Blautia","Blautia sp. LZLJ-3",2779518,1849,0.000423765910702507,"covid_001"
4363258,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Eggerthella","Eggerthella sp. HF-1101",2690837,1751,0.000401305629875657,"covid_001"
4363258,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus","",1279,1728,0.000396034339477519,"covid_001"
4363258,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus","Enterococcus faecium",1352,1721,0.000394430033704172,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes","Alistipes onderdonkii",2585117,1700,0.000389617116384133,"covid_001"
4363258,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus","Lactobacillus johnsonii",909954,1700,0.000389617116384133,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Oscillibacter","Oscillibacter sp. NSJ-62",2763056,1691,0.000387554437532688,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Lacrimispora","Lacrimispora saccharolytica",610130,1608,0.00036853195479158,"covid_001"
4363258,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Klebsiella","Klebsiella quasivariicola",2026240,1515,0.000347217606659977,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","","Bacteria|Firmicutes|Clostridia|Eubacteriales||Intestinimonas","Intestinimonas butyriciproducens",1297617,1474,0.000337820958558948,"covid_001"
4363258,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Xanthomonas","Xanthomonas euvesicatoria",1365647,1455,0.000333466414317008,"covid_001"
4363258,"Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bacteria|Actinobacteria|Actinomycetia|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium","Bifidobacterium bifidum",1681,1450,0.000332320481621761,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides","Bacteroides fragilis",862962,1446,0.000331403735465563,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides","Bacteroides sp. HF-162",2785531,1421,0.000325674071989325,"covid_001"
4363258,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|","",33958,1353,0.00031008938733396,"covid_001"
